Kabupaten/Kota,Produksi_Daging_Ternak_(kg),,,,,,,,,,,,,,,,,,,,
,Sapi_Perah,,,Sapi_Potong,,,Kuda,,,Kerbau,,,Kambing,,,Domba,,,Babi,,
,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020
Ogan_Komering_Ulu,-,-,-,419437.20,414552.00,483000.00,-,-,-,15049.00,13030.00,18242.00,84000.44,43531.00,55234.00,1858.00,1207.00,2815.00,40318.05,37991.00,41889.00
Ogan_Komering_Ilir,-,-,-,571099.20,561384.00,572608.00,-,-,-,2964.27,6081.00,6298.00,84795.81,88249.00,90900.00,5715.00,8060.00,8253.00,45554.16,50674.00,51605.00
Muara_Enim,-,-,-,574963.20,1035000.00,1035184.00,-,-,-,233721.14,285569.00,295124.00,76400.19,157598.00,228475.00,29786.00,29681.00,30035.00,-,-,-
Lahat,-,-,-,391230.00,312064.00,650624.00,-,-,-,27362.48,13681.00,17807.00,27661.38,-,47546.00,14865.00,-,869.00,-,-,5236.00
Musi_Rawas,-,-,-,934122.00,943368.00,952796.00,-,-,-,6385.00,6515.00,6949.00,228824.97,231126.00,233537.00,11430.00,11599.00,11776.00,26704.16,26995.00,27344.00
Musi_Banyuasin,-,-,-,1032267.60,1059288.00,1080632.00,-,-,-,-,0.00,-,307678.00,324803.00,331293.00,1014.00,225.00,225.00,-,-,-
Banyuasin,-,-,-,343896.00,304520.00,324392.00,-,-,-,8664.78,5429.00,5863.00,16415.66,10075.00,10719.00,1182.00,820.00,853.00,13823.33,8494.00,-
Ogan_Komering_Ulu_Selatan,-,-,-,139104.00,161368.00,161368.00,-,-,-,1140.10,2389.00,3040.00,60117.09,68718.00,55234.00,-,-,-,-,-,-
Ogan_Komering_Ulu_Timur,-,-,-,1610515.20,1756832.00,1276040.00,-,-,-,6384.58,7166.00,5646.00,385867.34,426561.00,271778.00,150957.00,104167.00,78571.00,220754.40,225036.00,174770.00
Ogan_Ilir,-,-,-,1343512.80,1680656.00,1697400.00,-,-,-,93032.00,1303.00,1303.00,206466.09,38797.00,39201.00,31926.00,1995.00,2027.00,-,-,-
Empat_Lawang,-,-,-,163447.20,102120.00,163392.00,-,-,-,15505.00,9989.00,15419.00,3822.00,3182.00,3825.00,535.00,515.00,531.00,-,-,-
Pali,-,-,-,57573.60,69392.00,68816.00,-,-,-,1140.00,22585.00,23019.00,-,15226.00,15529.00,-,-,-,-,-,-
Musi_Rawas_Utara,-,-,-,104134.80,125304.00,139104.00,-,-,-,145705.00,193057.00,189583.00,78433.00,83073.00,84423.00,10360.00,12050.00,13884.00,-,-,-
Palembang,-,-,-,2312990.40,1583320.00,1599144.00,-,-,-,-,-,-,237132.00,20503.00,20705.00,-,64.00,-,-,-,-
Prabumulih,-,-,-,412675.20,441416.00,454848.00,-,-,-,912.08,869.00,-,44894.50,53265.00,54856.00,422.00,-,-,-,-,-
Pagar_Alam,-,-,-,241500.00,263304.00,269744.00,-,-,-,6840.62,8035.00,8252.00,44010.75,30363.00,28394.00,1548.42,1384.00,-,-,-,-
Lubuk_Linggau,-,-,-,608580.00,641424.00,685952.00,-,-,-,60425.00,86648.00,93597.00,112678.13,118208.00,125051.00,9713.00,11680.00,18871.00,12566.66,13614.00,15708.00
Sumatera_Selatan,-,-,-,11261048.40,11455312.00,11615044.00,-,-,-,625232.55,662346.00,690142.00,1999197.16,1713278.00,1696700.00,271311.67,183447.00,168710.00,359720.76,362804.00,316552.00
Sumber:Dinas_Peternakan_Provinsi_Sumatera_Selatan,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source_Url:_https://sumsel.bps.go.id/indicator/24/427/1/produksi-daging-ternak.html,,,,,,,,,,,,,,,,,,,,,
"Access_Time:_November_1,_2021,_8:45_pm",,,,,,,,,,,,,,,,,,,,,
