Kabupaten/Kota,Produksi_Padi_Setara_Beras_(Ton),,
,2018,2019,2020
Ogan_Komering_Ulu,8069.09,10134.79,9601.85
Ogan_Komering_Ilir,276578.02,276853.24,293137.89
Muara_Enim,48106.89,47489.53,29488.67
Lahat,43053.30,41778.39,43135.06
Musi_Rawas,69820.53,59135.88,65342.10
Musi_Banyuasin,100768.34,78063.49,83496.26
Banyuasin,593285.78,517506.93,527294.03
Ogan_Komering_Ulu_Selatan,18355.22,21377.01,19807.64
Ogan_Komering_Ulu_Timur,364601.04,328690.08,359346.52
Ogan_Ilir,105741.43,41045.61,38329.54
Empat_Lawang,34303.36,31947.11,33455.11
Pali,9671.99,9838.12,9871.16
Musi_Rawas_Utara,11903.55,3710.91,7577.57
Palembang,13980.09,7245.28,7822.09
Prabumulih,127.90,77.97,78.61
Pagar_Alam,8501.90,7275.72,8129.63
Lubuk_Linggau,3704.22,5142.26,4804.16
Sumatera_Selatan,1710572.65,1487312.32,1540717.89
"Sumber_:_BPS,_Survei_Kerangka_Sampel_Area_(KSA)",,,

Source_Url:_https://sumsel.bps.go.id/indicator/53/785/1/produksi-padi-setara-beras.html,,,
"Access_Time:_November_1,_2021,_8:25_pm",,,
