Kabupaten/Kota,Produksi_Sayuran_(Kuintal),,,,,,,,,,,,,,
,Bawang_Merah,,,Cabai,,,Kentang,,,Kubis,,,Petsai,,
,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020
Ogan_Komering_Ulu,2560.00,2780.00,2560.00,35120.00,16400.00,10830.00,-,-,-,-,-,-,-,-,-
Ogan_Komering_Ilir,213.00,50.00,142.00,179890.00,213710.00,135263.00,-,-,-,150.00,-,-,938.00,1298.00,3030.00
Muara_Enim,625.00,1581.00,646.00,36988.00,46259.00,33944.00,1910.00,1164.00,1950.00,2034.00,2092.00,1206.00,1895.00,1032.00,900.00
Lahat,50.00,-,35.00,9471.00,6877.00,7412.00,-,-,-,8875.00,9161.00,11520.00,11925.00,11563.00,18091.00
Musi_Rawas,3089.00,2764.00,236.00,43552.00,14105.00,18599.00,-,-,-,-,-,-,-,-,-
Musi_Banyuasin,-,2.00,-,20042.00,27498.00,17656.00,-,-,-,-,-,-,4.00,-,237.00
Banyuasin,7.00,-,4.00,14227.00,14738.00,26034.00,-,-,-,-,-,-,412.00,23.00,41.00
Ogan_Komering_Ulu_Selatan,-,71.00,31.00,55598.00,32250.00,21126.00,-,-,-,6565.00,4833.00,1766.00,812.00,1970.00,1312.00
Ogan_Komering_Ulu_Timur,3050.00,1752.00,807.00,65023.00,60065.00,29667.00,70.00,-,-,-,-,-,540.00,2192.00,7875.00
Ogan_Ilir,-,-,-,24107.00,9372.00,12361.00,-,-,-,-,-,-,-,-,-
Empat_Lawang,-,-,-,2743.00,1725.00,1978.00,-,-,-,-,-,-,25.00,-,-
Pali,-,-,-,514.00,223.00,855.00,-,-,-,-,-,-,-,-,-
Musi_Rawas_Utara,-,-,-,4085.00,7887.00,4200.00,-,-,-,-,-,-,-,-,-
Palembang,-,-,-,549.00,506.00,999.00,-,-,-,-,-,-,117.00,394.00,686.00
Prabumulih,-,-,-,186.00,2084.00,651.00,-,-,-,-,-,-,10.00,23.00,38.00
Pagar_Alam,4838.00,4900.00,3730.00,60531.00,61213.00,59755.00,8307.00,5560.00,2230.00,37534.00,52383.00,23045.00,19446.00,22910.00,10871.00
Lubuk_Linggau,-,-,-,20.00,9.00,280.00,-,-,-,-,-,-,-,-,-
Sumatera_Selatan,14432.00,13900.00,8191.00,552646.00,514921.00,381609.00,10287.00,6724.00,4180.00,55158.00,68469.00,37537.00,36124.00,41405.00,43081.00
Sumber:Dinas_pertanian_melalui_survei_pertanian_hortikultura,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Source_Url:_https://sumsel.bps.go.id/indicator/55/406/1/produksi-sayuran.html,,,,,,,,,,,,,,,
"Access_Time:_November_1,_2021,_8:50_pm",,,,,,,,,,,,,,,
