Kabupaten/Kota,Produksi_Tanaman_Perkebunan_(Ribu_Ton),,,,,,,,,,,,,,,,,,,,
,Karet,,,Kelapa,,,Kelapa_Sawit,,,Kopi,,,Lada,,,Kakao,,,Lainnya,,
,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017
Ogan_Komering_Ulu,52447.00,52447.00,4317.40,193.38,193.00,196.00,71198.00,71198.00,115828.00,15992.00,15992.00,15812.00,302.37,302.37,329.00,51.00,51.00,52.00,576.86,576.86,238.00
Ogan_Komering_Ilir,184369.00,131770.00,19288.20,3746.00,1927.00,1156.00,246691.00,382163.00,436644.75,636.00,390.00,347.00,14.00,14.00,9.00,75.00,55.00,58.00,1406.15,1436.05,93.00
Muara_Enim,162225.00,161439.00,33184.00,1142.00,1142.00,1176.00,129500.00,157158.00,372692.00,25147.00,25238.00,25623.00,547.25,548.00,566.00,94.00,94.00,99.00,292.55,289.85,69.00
Lahat,25039.00,20003.00,26732.60,320.50,320.50,325.00,56480.25,123000.00,187685.00,21175.05,20551.00,21601.00,164.30,163.00,130.00,2293.50,2300.00,2280.00,394.23,394.23,25.00
Musi_Rawas,133394.06,134453.00,122441.00,1991.62,19180.00,1766.00,152340.17,181862.00,487714.00,1889.10,2447.00,2585.00,-,-,-,83.00,109.00,114.00,47.75,50.83,104.00
Musi_Banyuasin,125382.00,322564.00,160381.60,1047.00,3111.00,3136.00,224958.90,543058.00,1044169.25,3.00,12.00,5.00,5.10,5.10,-,2.00,2.00,3.00,270.00,272.00,272.00
Banyuasin,47323.00,93777.00,107325.00,44269.00,44248.00,-,43478.50,84138.00,609900.00,387.50,724.00,724.00,-,-,-,18.62,36.00,36.00,0.00,0.00,-
Ogan_Komering_Ulu_Selatan,2957.00,4573.00,37534.00,1260.00,1072.00,923.00,136.00,161.00,322.00,33491.00,39935.00,48523.00,3781.40,3960.00,2869.00,747.33,803.00,631.00,456.59,468.84,713.00
Ogan_Komering_Ulu_Timur,37992.92,37993.00,43315.00,3127.70,3310.00,3246.00,47115.94,47115.94,90541.00,2151.08,2397.00,2098.00,2899.65,2938.00,2380.00,426.87,421.00,427.00,183.87,180.19,16395.18
Ogan_Ilir,22645.77,21859.00,151812.40,265.74,264.00,262.00,5370.78,5419.00,32963.00,-,-,-,-,-,-,-,-,-,125.69,105.59,62991.52
Empat_Lawang,1670.00,1670.00,1670.00,123.40,617.00,123.00,33.20,33.00,17058.50,5251.00,5251.00,44841.00,237.60,1185.00,1185.00,50.40,250.00,250.00,302.48,1197.28,2288.23
Pali,80460.00,80460.00,440.00,301.00,301.00,301.00,-,-,119111.00,-,-,-,-,-,-,-,-,-,12.00,10.00,1.00
Musi_Rawas_Utara,127040.34,182168.00,11760.00,360.32,360.00,360.00,-,-,319633.00,181.67,182.00,180.00,-,-,-,25.00,25.00,21.00,22.30,22.30,101.00
Palembang,602.00,440.00,80460.00,14.80,14.80,14.80,210.80,193.00,386.00,-,-,-,-,-,-,-,-,-,32.16,31.00,9.00
Prabumulih,11798.00,11692.00,161439.00,46.00,46.00,36.00,2703.25,2487.00,4974.00,-,-,-,-,-,-,-,-,-,373.50,245.50,8.00
Pagar_Alam,534.81,535.00,535.00,3.00,4.00,5.00,-,-,-,3769.95,78071.00,21459.00,19.34,224.00,112.00,260.33,295.00,133.00,24.08,40.30,3406.95
Lubuk_Linggau,2477.98,2478.00,133076.00,19.21,149.00,24.00,95.80,95.80,192.00,276.92,276.92,368.00,-,-,-,-,-,-,146.49,159.95,7.00
Sumatera_Selatan,1018357.88,1260321.00,1095711.20,58230.67,76259.30,57297.80,980312.59,1598081.74,3839813.50,110351.27,191466.92,184166.00,7971.01,9339.47,7580.00,4127.05,4441.00,4104.00,4666.70,5480.77,86721.88
Sumber:Dinas_Perkebunan_Provinsi_Sumatera_Selatan,,,,,,,,,,,,,,,,,,,,,

Source_Url:_https://sumsel.bps.go.id/indicator/54/416/2/produksi-tanaman-perkebunan.html,,,,,,,,,,,,,,,,,,,,,
"Access_Time:_November_1,_2021,_8:40_pm",,,,,,,,,,,,,,,,,,,,,
