Kabupaten/Kota,Produksi_Telur_Unggas_Menurut_Kabupaten/Kota_dan_Jenis_Unggas_(Ton),,,,,,,,
,Ayam_Kampung,,,Ayam_Petelur,,,Itik/Itik_Manila,,
,2018,2019,2020,2018,2019,2020,2018,2019,2020
Ogan_Komering_Ulu,122436.58,133490.00,141088.00,606310.49,753257.00,802310.00,127472.60,132384.00,134643.00
Ogan_Komering_Ilir,449724.82,582621.00,606101.00,347364.12,423206.00,450772.00,460550.83,441669.00,450503.00
Muara_Enim,1895387.93,1758303.00,2009585.00,8208743.32,10517705.00,11202790.00,1250940.42,1287459.00,1326003.00
Lahat,246852.81,186725.00,117485.00,-,-,-,634557.60,148549.00,141813.00
Musi_Rawas,789434.14,804028.00,846531.00,30467.86,70975.00,75606.00,2507973.94,2539806.00,2813432.00
Musi_Banyuasin,389677.56,403616.00,423797.00,91251.25,-,-,405407.56,423478.00,444651.00
Banyuasin,1582862.84,1611989.00,1647658.00,83002535.52,97493539.00,103843819.00,1559525.72,1792237.00,1798748.00
Ogan_Komering_Ulu_Selatan,414835.40,573172.00,617262.00,115777.88,177445.00,189007.00,443718.47,482303.00,643070.00
Ogan_Komering_Ulu_Timur,604293.42,622412.00,636164.00,228508.98,408117.00,434700.00,1217291.77,1289107.00,1486602.00
Ogan_Ilir,682956.42,1707347.00,1724420.00,1355819.95,1632499.00,1738831.00,4541683.57,6298873.00,6361862.00
Empat_Lawang,22310.50,50760.00,51724.00,307420.75,392472.00,418034.00,92095.70,92096.00,92755.00
Pali,56132.05,57815.00,59838.00,-,10649.00,11334.00,224109.98,213467.00,217036.00
Musi_Rawas_Utara,187969.54,188252.00,189367.00,-,-,-,340248.46,352306.00,369098.00
Palembang,133198.11,49671.00,50168.00,811511.56,973601.00,1037019.00,176490.63,74894.00,75641.00
Prabumulih,27953.16,32309.00,33602.00,2361259.46,2860414.00,3046725.00,95552.20,104258.00,107385.00
Pagar_Alam,73686.99,48631.00,52242.00,-,-,-,15956.18,6704.00,7580.00
Lubuk_Linggau,61636.27,54716.00,73364.00,-,-,-,135406.48,133051.00,199673.00
Sumatera_Selatan,7741348.54,8865857.00,9280396.00,97466971.15,115713879.00,123250947.00,14228982.09,15812641.00,16670495.00
Sumber:_Dinas_Ketahanan_Pangan_dan_Peternakan_Provinsi_Sumatera_Selatan,,,,,,,,,

Source_Url:_https://sumsel.bps.go.id/indicator/24/853/1/produksi-telur-unggas-menurut-kabupaten-kota-dan-jenis-unggas.html,,,,,,,,,
"Access_Time:_November_1,_2021,_8:42_pm",,,,,,,,,
