Kabupaten/Kota,kelompok,jenis,satuan,2018,2019,2020
Ogan_Komering_Ulu,Padi,Padi,Ton,14124.16,17739.97,16807.12
Ogan_Komering_Ilir,Padi,Padi,Ton,484123.06,484604.79,513109.48
Muara_Enim,Padi,Padi,Ton,84206.44,83125.84,51617.05
Lahat,Padi,Padi,Ton,75360.65,73128.99,75503.76
Musi_Rawas,Padi,Padi,Ton,122214.04,103511.64,114375.06
Musi_Banyuasin,Padi,Padi,Ton,176385.25,136642.56,146152.13
Banyuasin,Padi,Padi,Ton,1038489.34,905845.79,922977.12
Ogan_Komering_Ulu_Selatan,Padi,Padi,Ton,32129.07,37418.38,34671.38
Ogan_Komering_Ulu_Timur,Padi,Padi,Ton,638198.79,575340.17,629001.31
Ogan_Ilir,Padi,Padi,Ton,185090.11,71846.34,67092.15
Empat_Lawang,Padi,Padi,Ton,60044.69,55920.35,58559.93
Pali,Padi,Padi,Ton,16929.87,17220.71,17278.49
Musi_Rawas_Utara,Padi,Padi,Ton,20836.01,6495.6,13263.77
Palembang,Padi,Padi,Ton,24470.82,12682.17,13691.79
Prabumulih,Padi,Padi,Ton,223.87,136.49,137.6
Pagar_Alam,Padi,Padi,Ton,14881.78,12735.42,14230.1
Lubuk_Linggau,Padi,Padi,Ton,6483.89,9001.03,8409.22
