Kabupaten/Kota,kelompok,jenis,satuan,2018,2019,2020
Ogan_Komering_Ulu,Padi_Setara_Beras,Padi_Setara_Beras,Ton,8069.09,10134.79,9601.85
Ogan_Komering_Ilir,Padi_Setara_Beras,Padi_Setara_Beras,Ton,276578.02,276853.24,293137.89
Muara_Enim,Padi_Setara_Beras,Padi_Setara_Beras,Ton,48106.89,47489.53,29488.67
Lahat,Padi_Setara_Beras,Padi_Setara_Beras,Ton,43053.3,41778.39,43135.06
Musi_Rawas,Padi_Setara_Beras,Padi_Setara_Beras,Ton,69820.53,59135.88,65342.1
Musi_Banyuasin,Padi_Setara_Beras,Padi_Setara_Beras,Ton,100768.34,78063.49,83496.26
Banyuasin,Padi_Setara_Beras,Padi_Setara_Beras,Ton,593285.78,517506.93,527294.03
Ogan_Komering_Ulu_Selatan,Padi_Setara_Beras,Padi_Setara_Beras,Ton,18355.22,21377.01,19807.64
Ogan_Komering_Ulu_Timur,Padi_Setara_Beras,Padi_Setara_Beras,Ton,364601.04,328690.08,359346.52
Ogan_Ilir,Padi_Setara_Beras,Padi_Setara_Beras,Ton,105741.43,41045.61,38329.54
Empat_Lawang,Padi_Setara_Beras,Padi_Setara_Beras,Ton,34303.36,31947.11,33455.11
Pali,Padi_Setara_Beras,Padi_Setara_Beras,Ton,9671.99,9838.12,9871.16
Musi_Rawas_Utara,Padi_Setara_Beras,Padi_Setara_Beras,Ton,11903.55,3710.91,7577.57
Palembang,Padi_Setara_Beras,Padi_Setara_Beras,Ton,13980.09,7245.28,7822.09
Prabumulih,Padi_Setara_Beras,Padi_Setara_Beras,Ton,127.9,77.97,78.61
Pagar_Alam,Padi_Setara_Beras,Padi_Setara_Beras,Ton,8501.9,7275.72,8129.63
Lubuk_Linggau,Padi_Setara_Beras,Padi_Setara_Beras,Ton,3704.22,5142.26,4804.16
