Kab/Kota,Kelompok,Jenis,Satuan,2017,2018,2019,2020,2021,2022
Kep Seribu,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Sedap Malam,tangkai,0.0,50.0,0.0,0.0,0.0,0.0
Jakarta Selatan,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Sedap Malam,tangkai,1191719.0,117566.0,306612.0,104849.0,316.0,240.0
Jakarta Timur,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Sedap Malam,tangkai,14449.0,46464.0,61891.0,35309.0,19596.0,7880.0
Jakarta Pusat,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Sedap Malam,tangkai,2580.0,70.0,30.0,4.0,0.0,0.0
Jakarta Barat,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Sedap Malam,tangkai,18507.0,4500.0,0.0,162500.0,83000.0,182500.0
Jakarta Utara,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Sedap Malam,tangkai,270.0,120.0,0.0,0.0,0.0,0.0
Dki Jakarta,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Sedap Malam,tangkai,1227525.0,168770.0,368533.0,302662.0,102912.0,190627.0
Kep Seribu,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Anggrek,tangkai,0.0,0.0,0.0,0.0,0.0,0.0
Jakarta Selatan,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Anggrek,tangkai,0.0,0.0,0.0,0.0,0.0,0.0
Jakarta Timur,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Anggrek,tangkai,0.0,0.0,0.0,0.0,0.0,0.0
Jakarta Pusat,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Anggrek,tangkai,0.0,0.0,0.0,0.0,0.0,0.0
Jakarta Barat,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Anggrek,tangkai,0.0,0.0,0.0,0.0,0.0,0.0
Jakarta Utara,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Anggrek,tangkai,0.0,0.0,0.0,0.0,0.0,0.0
Dki Jakarta,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Anggrek,tangkai,0.0,0.0,0.0,0.0,0.0,0.0
Kep Seribu,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Krisan,tangkai,0.0,65.0,0.0,0.0,0.0,0.0
Jakarta Selatan,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Krisan,tangkai,100016.0,9851.0,26152.0,12357.0,16184.0,375.0
Jakarta Timur,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Krisan,tangkai,12365.0,8629.0,8357.0,9963.0,1651.0,1065.0
Jakarta Pusat,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Krisan,tangkai,344.0,16.0,0.0,4.0,4.0,0.0
Jakarta Barat,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Krisan,tangkai,13955.0,0.0,0.0,15000.0,8100.0,0.0
Jakarta Utara,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Krisan,tangkai,82.0,100.0,0.0,0.0,0.0,0.0
Dki Jakarta,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Krisan,tangkai,126762.0,18661.0,34509.0,37324.0,25939.0,1440.0
Kep Seribu,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Mawar,tangkai,0.0,0.0,0.0,0.0,0.0,0.0
Jakarta Selatan,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Mawar,tangkai,0.0,0.0,0.0,7.0,9.0,0.0
Jakarta Timur,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Mawar,tangkai,0.0,0.0,0.0,0.0,0.0,0.0
Jakarta Pusat,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Mawar,tangkai,0.0,0.0,0.0,3.0,0.0,0.0
Jakarta Barat,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Mawar,tangkai,0.0,0.0,0.0,0.0,0.0,0.0
Jakarta Utara,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Mawar,tangkai,0.0,0.0,0.0,0.0,0.0,0.0
Dki Jakarta,Tanaman Hias Menurut Kabupaten Kota dan Jenis Tanaman di Provinsi DKI Jakarta,Mawar,tangkai,0.0,0.0,0.0,10.0,9.0,0.0
