Y,M,D,Hs,Ts
2004,01,31,0.5373677474800689,3.8624848895903225
2005,03,08,0.6804831626348176,4.178772446595613
2006,10,26,0.6391525257699703,4.0923970632730144
2007,02,08,0.6696871426989479,4.156555478628387
2008,01,22,0.5286908710780737,3.841582800921453
2009,11,04,0.633111950166928,4.079463936335484
2010,05,31,0.6020971229773717,4.011730760676145
2011,09,16,0.749971081030721,4.316427329402828
2012,03,09,0.5762456914161643,3.953473434734485
2013,07,09,0.7574637003553547,3.921878952636932
2014,10,26,0.7368918201732427,4.291187651311796
2015,11,08,0.6912962439918414,4.200790214303987
